character_id,name,exclusive_skill,pve_score,pvp_score,effects,acquisition,release_update,image_url,image_local_url,source_url
abomination,Strange Creature,Gamma Boost,High,Medium,"[""3★: Applies to: Gamma Radiation Allies"",""3★: • Increases All Basic Attacks by 18%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Max HP by 4%, and an additional 0.1% of total Instinct. (Up to 200%)"",""4★: Applies to: Gamma Radiation Allies"",""4★: • Increases All Basic Attacks by 20%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases Max HP by 6%, and an additional 0.1% of total Instinct. (Up to 200%)"",""5★: Applies to: Gamma Radiation Allies"",""5★: • Increases All Basic Attacks by 22%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases Max HP by 8%, and an additional 0.1% of total Instinct. (Up to 200%)"",""6★: Applies to: Gamma Radiation Allies"",""6★: • Increases All Basic Attacks by 25%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases Max HP by 10%, and an additional 0.1% of total Instinct. (Up to 200%)""]",,Update 10.4.5,https://thanosvibs.money/static/assets/items/artifact_abomination.png,/mff-assets/artifacts/artifactabomination.webp,https://thanosvibs.money/artifacts
absorbingman,Omni-Morph,Endless Absorption,Low,Low,"[""3★: Applies to: Self"",""3★: • Restores HP equal to 2% of Reflect Damage dealt to the target. Restores bonus HP equal to (Total Instinct * 4%)."",""3★: • Can restore up to 2% of Max HP and has a 1 sec Cooldown."",""4★: Applies to: Self"",""4★: • Restores HP equal to 3% of Reflect Damage dealt to the target. Restores bonus HP equal to (Total Instinct * 6%)."",""4★: • Can restore up to 3% of Max HP and has a 1 sec Cooldown."",""5★: Applies to: Self"",""5★: • Restores HP equal to 4% of Reflect Damage dealt to the target. Restores bonus HP equal to (Total Instinct * 8%)."",""5★: • Can restore up to 4% of Max HP and has a 1 sec Cooldown."",""6★: Applies to: Self"",""6★: • Restores HP equal to 5% of Reflect Damage dealt to the target. Restores bonus HP equal to (Total Instinct * 10%)."",""6★: • Can restore up to 5% of Max HP and has a 1 sec Cooldown.""]",,Update 8.3,https://thanosvibs.money/static/assets/items/artifact_absorbingman.png,/mff-assets/artifacts/artifactabsorbingman.webp,https://thanosvibs.money/artifacts
adamwarlock,Light of Life,Miraculous Resurrection,Medium,High,"[""3★: Activation Rate: when HP is below 99%"",""3★: Applies to: Self"",""3★: • Recovers HP by 1%, and an additional 0.1% of total Instinct. (Up to 200%) (1 sec.)"",""3★: Cooldown Time 1 second"",""4★: Activation Rate: when HP is below 99%"",""4★: Applies to: Self"",""4★: • Recovers HP by 1.5%, and an additional 0.1% of total Instinct. (Up to 200%) (1 sec.)"",""4★: Cooldown Time 1 second"",""5★: Activation Rate: when HP is below 99%"",""5★: Applies to: Self"",""5★: • Recovers HP by 2%, and an additional 0.1% of total Instinct. (Up to 200%) (1 sec.)"",""5★: Cooldown Time 1 second"",""6★: Activation Rate: when HP is below 99%"",""6★: Applies to: Self"",""6★: • Recovers HP by 2.5%, and an additional 0.1% of total Instinct. (Up to 200%) (1 sec.)"",""6★: Cooldown Time 1 second""]",,Update 7.8,https://thanosvibs.money/static/assets/items/artifact_adamwarlock.png,/mff-assets/artifacts/artifactadamwarlock.webp,https://thanosvibs.money/artifacts
aero,Breath of the Wind,Healing Wind,Medium,Low,"[""3★: Activation Rate: when debuffed"",""3★: Applies to: Self"",""3★: • 20% chance to ignore all debuffs received, and an additional 0.5% of total Instinct. (Up to 200%) (9 sec.)"",""3★: • Increases All Basic Attacks by 5%, and an additional 0.2% of total Instinct. (Up to 200%) (9 sec.)"",""3★: Cooldown Time 25 seconds"",""4★: Activation Rate: when debuffed"",""4★: Applies to: Self"",""4★: • 30% chance to ignore all debuffs received, and an additional 0.5% of total Instinct. (Up to 200%) (11 sec.)"",""4★: • Increases All Basic Attacks by 10%, and an additional 0.3% of total Instinct. (Up to 200%) (11 sec.)"",""4★: Cooldown Time 25 seconds"",""5★: Activation Rate: when debuffed"",""5★: Applies to: Self"",""5★: • 40% chance to ignore all debuffs received, and an additional 0.5% of total Instinct. (Up to 200%) (13 sec.)"",""5★: • Increases All Basic Attacks by 15%, and an additional 0.4% of total Instinct. (Up to 200%) (13 sec.)"",""5★: Cooldown Time 25 seconds"",""6★: Activation Rate: when debuffed"",""6★: Applies to: Self"",""6★: • 50% chance to ignore all debuffs received, and an additional 0.5% of total Instinct. (Up to 200%) (15 sec.)"",""6★: • Increases All Basic Attacks by 20%, and an additional 0.5% of total Instinct. (Up to 200%) (15 sec.)"",""6★: Cooldown Time 25 seconds""]",,Update 7.5,https://thanosvibs.money/static/assets/items/artifact_aero.png,/mff-assets/artifacts/artifactaero.webp,https://thanosvibs.money/artifacts
agent13,Hestia-3,The Sniper,High,Low,"[""3★: Applies to: Self"",""3★: • Ignores target's Dodge Rate by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases All Basic Attacks by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Ignores target's Dodge Rate by 15%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases All Basic Attacks by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Ignores target's Dodge Rate by 20%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases All Basic Attacks by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Ignores target's Dodge Rate by 25%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases All Basic Attacks by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 11.2,https://thanosvibs.money/static/assets/items/artifact_agent13.png,/mff-assets/artifacts/artifactagent13.webp,https://thanosvibs.money/artifacts
agentvenom,Heart of a Hero,True Hero,High,Medium,"[""3★: Applies to: Allies with Symbiote Ability"",""3★: • Increases Basic Damage Dealt to enemies with 25% HP or higher by 5%, and an additional 0.1% of total Instinct. (Up to 200%)"",""3★: • Decreases Basic Damage Received by 15%, and an additional 0.15% of total Instinct. (Up to 200%)"",""4★: Applies to: Allies with Symbiote Ability"",""4★: • Increases Basic Damage Dealt to enemies with 25% HP or higher by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: • Decreases Basic Damage Received by 20%, and an additional 0.2% of total Instinct. (Up to 200%)"",""5★: Applies to: Allies with Symbiote Ability"",""5★: • Increases Basic Damage Dealt to enemies with 25% HP or higher by 15%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: • Decreases Basic Damage Received by 25%, and an additional 0.25% of total Instinct. (Up to 200%)"",""6★: Applies to: Allies with Symbiote Ability"",""6★: • Increases Basic Damage Dealt to enemies with 25% HP or higher by 20%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: • Decreases Basic Damage Received by 30%, and an additional 0.3% of total Instinct. (Up to 200%)""]",,Update 8.4,https://thanosvibs.money/static/assets/items/artifact_agentvenom.png,/mff-assets/artifacts/artifactagentvenom.webp,https://thanosvibs.money/artifacts
americachavez,Dimensional Travel,Dimension Break,Low,Medium,"[""3★: Applies to: Self"",""3★: • Ignores Non-Boss enemy Damage Decrease by 15%, and an additional 0.15% of Total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Ignores Non-Boss enemy Damage Decrease by 20%, and an additional 0.2% of Total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Ignores Non-Boss enemy Damage Decrease by 25%, and an additional 0.25% of Total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Ignores Non-Boss enemy Damage Decrease by 30%, and an additional 0.3% of Total Instinct. (Up to 200%)""]",,Update 8.0,https://thanosvibs.money/static/assets/items/artifact_americachavez.png,/mff-assets/artifacts/artifactamericachavez.webp,https://thanosvibs.money/artifacts
ancientone,Mystic Master,Mystic Power Boost,High,Medium,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 9%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Decreases Basic Damage Received by 15%, and an additional 0.15% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 11%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Decreases Basic Damage Received by 20%, and an additional 0.2% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 13%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Decreases Basic Damage Received by 25%, and an additional 0.25% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 15%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Decreases Basic Damage Received by 30%, and an additional 0.3% of total Instinct. (Up to 200%)""]",,Update 8.0.5,https://thanosvibs.money/static/assets/items/artifact_ancientone.png,/mff-assets/artifacts/artifactancientone.webp,https://thanosvibs.money/artifacts
angel,Wings of Life,Angelic Swiftness,Low,Medium,"[""3★: Applies to: Self"",""3★: • 11% chance to Dodge ALL Attacks, and an additional 0.2 of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • 14% chance to Dodge ALL Attacks, and an additional 0.3 of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • 17% chance to Dodge ALL Attacks, and an additional 0.4 of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • 20% chance to Dodge ALL Attacks, and an additional 0.5 of total Instinct. (Up to 200%)""]",,Update 8.6,https://thanosvibs.money/static/assets/items/artifact_angel.png,/mff-assets/artifacts/artifactangel.webp,https://thanosvibs.money/artifacts
angela,Angel of Hel,Assassin of Asgard,Medium,Low,"[""3★: Applies to: Self"",""3★: • Increases All Basic Attacks by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases All Basic Attacks by 15%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases All Basic Attacks by 20%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases All Basic Attacks by 25%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 8.2,https://thanosvibs.money/static/assets/items/artifact_angela.png,/mff-assets/artifacts/artifactangela.webp,https://thanosvibs.money/artifacts
